Freq [Hz];mag(S(2,1)) [];;;;;
8,00E+07;0.822974977257389;;;;;
8,10E+07;0.822681689500947;;;;;
8,20E+07;0.822385110844715;;;;;
8,30E+07;0.822085253623573;;;;;
8,40E+07;0.821782130281923;;;;;
8,50E+07;0.821475753372318;;;;;
8,60E+07;0.821166135554096;;;;;
8,70E+07;0.820853289591989;;;;;
8,80E+07;0.820537228354743;;;;;
8,90E+07;0.820217964813721;;;;;
9,00E+07;0.819895512041507;;;;;
9,10E+07;0.819569883210494;;;;;
9,20E+07;0.819241091591482;;;;;
9,30E+07;0.818909150552253;;;;;
9,40E+07;0.818574073556159;;;;;
9,50E+07;0.818235874160692;;;;;
9,60E+07;0.817894566016054;;;;;
9,70E+07;0.817550162863724;;;;;
9,80E+07;0.817202678535024;;;;;
9,90E+07;0.816852126949673;;;;;
1,00E+08;0.816498522114344;;;;;
1,01E+08;0.816141884871924;;;;;
1,02E+08;0.815782222669516;;;;;
1,03E+08;0.815419549782465;;;;;
1,04E+08;0.81505388056816;;;;;
1,05E+08;0.814685229464594;;;;;
1,06E+08;0.814313610988922;;;;;
1,07E+08;0.813939039736016;;;;;
1,08E+08;0.813561530377023;;;;;
1,09E+08;0.813181097657913;;;;;
1,10E+08;0.812797756398039;;;;;
1,11E+08;0.812411521488681;;;;;
1,12E+08;0.812022407891606;;;;;
1,13E+08;0.811630430637613;;;;;
1,14E+08;0.811235604825091;;;;;
1,15E+08;0.810837945618564;;;;;
1,16E+08;0.810437468247252;;;;;
1,17E+08;0.810034188003616;;;;;
1,18E+08;0.809628120241921;;;;;
1,19E+08;0.809219280376786;;;;;
1,20E+08;0.808807683881744;;;;;
1,21E+08;0.808393346287801;;;;;
1,22E+08;0.807976283181999;;;;;
1,23E+08;0.807556510205975;;;;;
1,24E+08;0.807134043054533;;;;;
1,25E+08;0.806708897474208;;;;;
1,26E+08;0.806281089261839;;;;;
1,27E+08;0.805850634263145;;;;;
1,28E+08;0.805417548371301;;;;;
1,29E+08;0.804981847525521;;;;;
1,30E+08;0.804543547709642;;;;;
1,31E+08;0.804102664950714;;;;;
1,32E+08;0.803659215317591;;;;;
1,33E+08;0.803213214919533;;;;;
1,34E+08;0.802764679904805;;;;;
1,35E+08;0.802313626459282;;;;;0
1,36E+08;0.801860070805066;;;;;
1,37E+08;0.8014040291991;;;;;
1,38E+08;0.800945517931786;;;;;
1,39E+08;0.800484553325622;;;;;
1,40E+08;0.800021151733825;;;;;
1,41E+08;0.799555329538979;;;;;
1,42E+08;0.799087103151672;;;;;
1,43E+08;0.798616489009155;;;;;
1,44E+08;0.798143503573992;;;;;
1,45E+08;0.79766816333273;;;;;
1,46E+08;0.797190484794565;;;;;
1,47E+08;0.796710484490026;;;;;
1,48E+08;0.796228178969651;;;;;
1,49E+08;0.795743584802684;;;;;
1,50E+08;0.795256718575774;;;;;
1,51E+08;0.79476759689168;;;;;
1,52E+08;0.794276236367984;;;;;
1,53E+08;0.793782653635812;;;;;
1,54E+08;0.79328686533857;;;;;
1,55E+08;0.79278888813067;;;;;
1,56E+08;0.792288738676286;;;;;
1,57E+08;0.791786433648103;;;;;
1,58E+08;0.791281989726079;;;;;
1,59E+08;0.790775423596215;;;;;
1,60E+08;0.790266751949338;;;;;
1,61E+08;0.789755991479885;;;;;
1,62E+08;0.789243158884701;;;;;
1,63E+08;0.788728270861845;;;;;
1,64E+08;0.788211344109404;;;;;
1,65E+08;0.787692395324318;;;;;
1,66E+08;0.787171441201213;;;;;
1,67E+08;0.786648498431242;;;;;
1,68E+08;0.786123583700937;;;;;
1,69E+08;0.785596713691075;;;;;
1,70E+08;0.785067905075543;;;;;
