"Freq [GHz]","mag(S(2,1)) [] - rhe='5.5mm'","mag(S(2,1)) [] - rhe='6mm'","mag(S(2,1)) [] - rhe='6.5mm'","mag(S(2,1)) [] - rhe='7mm'","mag(S(2,1)) [] - rhe='7.5mm'","mag(S(2,1)) [] - rhe='8mm'","mag(S(2,1)) [] - rhe='8.5mm'","mag(S(2,1)) [] - rhe='9mm'","mag(S(2,1)) [] - rhe='9.5mm'","mag(S(2,1)) [] - rhe='10mm'","mag(S(2,1)) [] - rhe='10.5mm'","mag(S(2,1)) [] - rhe='11.5mm'"
2.39059359359359,0.999145632686578,0.999432127705443,0.999625455663645,0.999759820060418,0.999834885920223,0.999888513291535,0.99990940786158,0.999911835166499,0.999898918934927,0.999867086177532,0.999841237171973,0.999766572913762
2.3935955955956,0.999125134583925,0.999416271979855,0.999613514618522,0.999751419825212,0.999829283596521,0.999885623452947,0.999908848818495,0.999913004687321,0.999901840279142,0.999871876661317,0.999847139548885,0.999774617700324
2.3965975975976,0.999104271527832,0.999400076854397,0.99960125608693,0.999742724787248,0.999823406409462,0.999882478296815,0.999908051669093,0.999913950298646,0.999904550396709,0.999876467823635,0.999852855501386,0.999782492395735
2.3995995995996,0.999083040880018,0.999383539632762,0.999588677262855,0.999733732094385,0.999817251452272,0.999879074901795,0.999907013464914,0.999914669048441,0.999907046316057,0.999880856628267,0.999858382040012,0.999790193971317
2.4026016016016,0.99906144002458,0.999366657641031,0.9995757753606,0.999724438913297,0.999810815833537,0.999875410362244,0.999905731271869,0.999915157997981,0.999909325078164,0.999885040050448,0.999863716186056,0.999797719407939
2.4056036036036,0.999039466368491,0.9993494282282,0.999562547615321,0.999714842430001,0.999804096677719,0.999871481788748,0.999904202170767,0.999915414222361,0.999911383737073,0.999889015077377,0.999868854972066,0.99980506569652
2.40860560560561,0.999017117342117,0.999331848766714,0.999548991283561,0.999704939850392,0.999797091125685,0.999867286308641,0.999902423257825,0.999915434811013,0.999913219360401,0.999892778708736,0.999873795442354,0.999812229838531
2.41160760760761,0.998994390399716,0.999313916652996,0.999535103643787,0.999694728400771,0.999789796335223,0.99986282106653,0.999900391645192,0.999915216868218,0.999914829029852,0.999896327957204,0.999878534653497,0.999819208846497
2.41460960960961,0.998971283019955,0.99929562930797,0.99952088199691,0.999684205328375,0.999782209481565,0.999858083224818,0.999898104461468,0.999914757513616,0.999916209841728,0.999899659848972,0.999883069674843,0.999825999744505
2.41761161161161,0.998947792706406,0.999276984177589,0.999506323666825,0.999673367901902,0.999774327757907,0.999853069964223,0.999895558852212,0.999914053882723,0.999917358907437,0.999902771424255,0.999887397589009,0.999832599568697
2.42061361361361,0.998923916988054,0.999257978733354,0.99949142600093,0.999662213412035,0.999766148375933,0.999847778484298,0.999892751980467,0.99991310312743,0.999918273354002,0.999905659737809,0.999891515492387,0.99983900536778
2.42361561561562,0.998899653419791,0.999238610472834,0.999476186370654,0.99965073917197,0.999757668566332,0.999842206003942,0.99988968102727,0.999911902416526,0.99991895032457,0.999908321859437,0.999895420495641,0.999845214203522
2.42661761761762,0.998874999582932,0.999218876920188,0.999460602171981,0.99963894251793,0.999748885579321,0.999836349761927,0.99988634319216,0.99991044893619,0.999919386978915,0.999910754874502,0.999899109724205,0.999851223151251
2.42961961961962,0.998849953085694,0.99919877562667,0.999444670825965,0.999626820809687,0.999739796685162,0.999830207017399,0.999882735693696,0.999908739890511,0.999919580493947,0.999912955884438,0.999902580318787,0.999857029300354
2.43262162162162,0.998824511563704,0.99917830417115,0.99942838977925,0.999614371431078,0.999730399174682,0.999823775050401,0.999878855769959,0.999906772501981,0.999919528064211,0.999914922007258,0.999905829435861,0.999862629754776
2.43562362362362,0.998798672680489,0.99915746016061,0.999411756504588,0.999601591790521,0.999720690359788,0.999817051162373,0.999874700679062,0.999904544012005,0.999919226902393,0.999916650378056,0.999908854248166,0.999868021633516
2.43862562562563,0.998772434127968,0.999136241230663,0.999394768501343,0.999588479321518,0.999710667573989,0.999810032676669,0.999870267699657,0.999902051681397,0.999918674239814,0.999918138149519,0.999911651945195,0.999873202071119
